ID,Image,Name(Kanji),Name(Hiragana),Name(Romaji),Localised Name,Nickname,Gender,Passive ID,Role,Game,Position,Alt Position,Element,Preferred Playstyle,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence,Total Stats
18,,音無 春奈,おとなし はるな,Haruna Otonashi,Celia Hills,音無,女 (Female),MF2,マネージャー (Coordinator),イナズマイレブン,MF,DF,風 (Wind),Bond,104,112,109,91,92,85,100,693
19,,雷門 夏未,らいもん なつみ,Natsumi Raimon,Nelly Raimon,夏未,女 (Female),FW2,マネージャー (Coordinator),イナズマイレブン,FW,MF,火 (Fire),Bond,121,115,105,88,85,85,93,692
20,,源田 幸次郎,げんだ こうじろう,Kojiro Genda,Joseph King,げんおう,男 (Male),GK1,選手 (Player),イナズマイレブン,GK,MF,火 (Fire),Breach,90,97,91,98,105,111,97,689
21,,大野 伝助,おおの でんすけ,Densuke Ono,Peter Drent,だいでん,男 (Male),DF5,選手 (Player),イナズマイレブン,DF,FW,山 (Mountain),Rough Play,83,86,88,95,99,85,107,643
22,,万丈 一道,ばんじょう かずみち,Kazumichi Banjo,Ben Simmons,万丈,男 (Male),DF4,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Justice,79,83,81,98,102,85,114,642
23,,成神 健也,なるかみ けんや,Kenya Narukami,Alan Master,成神,男 (Male),MF5,選手 (Player),イナズマイレブン,MF,DF,風 (Wind),Counter,93,108,109,81,78,78,97,644
24,,五条 勝,ごじょう まさる,Masaru Gojo,Gus Martin,五条,男 (Male),DF3,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Bond,86,90,91,98,102,88,110,665
25,,辺見 渡,へんみ わたる,Wataru Henmi,Herman Waldon,辺見,男 (Male),MF5,選手 (Player),イナズマイレブン,MF,FW,風 (Wind),Rough Play,93,108,109,81,78,78,97,644
26,,咲山 修二,さきやま しゅうじ,Shuji Sakiyama,John Bloom,咲山,男 (Male),MF5,選手 (Player),イナズマイレブン,MF,FW,火 (Fire),Tension,93,108,109,81,78,78,97,644
27,,洞面 秀一郎,どうめん しゅういちろう,Shuichiro Domen,Derek Swing,洞面,男 (Male),MF5,選手 (Player),イナズマイレブン,MF,FW,風 (Wind),Counter,93,108,109,81,78,78,97,644
28,,寺門 大貴,じもん だいき,Daiki Jimon,Daniel Hatch,寺門,男 (Male),FW5,選手 (Player),イナズマイレブン,FW,DF,林 (Forest),Rough Play,107,104,95,84,82,78,93,643
29,,鬼道 有人,きどう ゆうと,Yuto Kido,Jude Sharp,鬼道,男 (Male),MF2,選手 (Player),イナズマイレブン,MF,FW,風 (Wind),Justice,104,112,109,91,92,85,100,693
30,,佐久間 次郎,さくま じろう,Jiro Sakuma,David Samford,佐久間,男 (Male),FW2,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Counter,121,115,105,88,85,85,93,692
31,,兵藤 雄平,ひょうどう ゆうへい,Yuhei Hyodo,Bob Carlton,兵藤,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,DF,林 (Forest),Justice,79,86,81,88,95,101,86,616
32,,恵那 和樹,えな かずき,Kazuki Ena,Cliff Tomlinson,恵那,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Breach,104,101,91,81,78,75,90,620
33,,椋本 圭,むくもと けい,Kei Mukumoto,Jim Lawrenson,椋本,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Tension,110,104,95,77,75,75,83,619
34,,渋木 翔大,しぶき しょうだい,Shodai Shibuki,Barry Potts,渋木,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,風 (Wind),Rough Play,90,104,105,77,75,75,93,619
35,,大楠 星士,おおくす せいじ,Seiji Okusu,Steve Ingham,大楠,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,山 (Mountain),Bond,104,101,91,81,78,75,90,620
36,,影山 零治,かげやま れいじ,Reiji Kageyama,Ray Dark,影山,男 (Male),MF5,監督 (Manager),イナズマイレブン,MF,FW,風 (Wind),Tension,93,108,109,81,78,78,97,644
37,,安西 勝,あんざい まさる,Masaru Anzai,Stephen Black,安西,男 (Male),DF6,コーチ (Coach),イナズマイレブン,DF,MF,林 (Forest),Tension,79,83,84,91,95,81,104,617
38,,鉈 十三,なた じゅうぞう,Juzo Nata,Nathan Jones,十三,男 (Male),GK4,選手 (Player),イナズマイレブン,GK,MF,風 (Wind),Rough Play,83,90,84,91,99,104,90,641
39,,三途 渡,さんず わたる,Wataru Sanzu,Russell Walk,三途,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,FW,林 (Forest),Justice,76,79,77,95,99,81,110,617
40,,柳田 しげる,やなぎだ しげる,Shigeru Yanagida,Jason Jones,柳田,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Bond,76,79,77,95,99,81,110,617
41,,不乱 拳,ふらん けん,Ken Furan,Ken Furan,フランケン,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,GK,山 (Mountain),Rough Play,76,79,77,95,99,81,110,617
42,,屍 藤美,しかばね ふじみ,Fujimi Shikabane,Jerry Fulton,藤美,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Rough Play,79,83,84,91,95,81,104,617
43,,霊幻 道久,れいげん みちひさ,Michihisa Reigen,Ray Mannings,霊幻,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,風 (Wind),Tension,93,101,98,81,82,75,90,620
44,,木乃伊 魔美,きのい まみ,Mami Kinoi,Robert Mayer,ミイラ,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,林 (Forest),Tension,93,101,98,81,82,75,90,620
45,,八墓 祟,やつはか たたる,Tataru Yatsuhaka,Alexander Brave,八墓,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,火 (Fire),Counter,93,101,98,81,82,75,90,620
46,,幽谷 博之,ゆうこく ひろゆき,Hiroyuki Yukoku,Johan Tassman,幽谷,男 (Male),FW6,選手 (Player),イナズマイレブン,FW,DF,林 (Forest),Rough Play,114,108,98,81,78,78,86,643
47,,月村 憲一,つきむら けんいち,Kenichi Tsukimura,Troy Moon,月村,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,火 (Fire),Bond,90,104,105,77,75,75,93,619
48,,武羅渡 牙,ぶらど きば,Kiba Burado,Burt Wolf,ブラッド,男 (Male),MF5,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Rough Play,93,108,109,81,78,78,97,644
49,,不死 祀,ふし まつる,Matsuru Fushi,Rob Crombie,不死,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,山 (Mountain),Tension,79,86,81,91,95,98,86,616
50,,人形 幻,ひとがた げん,Gen Hitogata,Chuck Dollman,にんぎょう,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,DF,林 (Forest),Rough Play,110,104,95,77,75,75,83,619
51,,円谷 未知,つぶらや みち,Michi Tsuburaya,Uxley Allen,円谷,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Breach,104,101,91,81,78,75,90,620
52,,黒上 呪,くろがみ のろい,Noroi Kurogami,Phil Noir,黒上,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Bond,104,101,91,81,78,75,90,620
53,,魔界 崇雄,まかい たかお,Takao Makai,Mick Askley,魔界,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,林 (Forest),Bond,90,104,105,77,75,75,93,619
54,,地木流 灰人,じきる はいと,Haito Jikiru,Hekyll Jyde,地木流,男 (Male),DF6,監督 (Manager),イナズマイレブン,DF,FW,山 (Mountain),Rough Play,79,83,84,91,95,81,104,617
56,,提灯 ほのり,ちょうちん ほのり,Honori Chochin,Lanny Tern,提灯,女 (Female),GK7,マネージャー (Coordinator),イナズマイレブン,GK,MF,風 (Wind),Counter,79,86,81,91,95,98,86,616
57,,猪口 兵吾,いのくち ひょうご,Hyogo Inokuchi,Charlie Boardfield,イノシシ,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,MF,火 (Fire),Rough Play,79,86,81,88,95,101,86,616
58,,鶏井 亮太,とりい りょうた,Ryota Torii,Hugo Tallgeese,ニワトリ,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,FW,火 (Fire),Rough Play,93,101,98,81,82,75,90,620
59,,魚住 拓人,うおずみ たくと,Takuto Uozumi,Wilson Fishman,サカナ,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Bond,76,79,77,95,99,81,110,617
60,,蛙田 達士,かえるだ たつひと,Tatsuhito Kaeruda,Peter Johnson,カエル,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Counter,76,79,77,95,99,81,110,617
61,,獅子王 吼,ししおう こう,Ko Shishio,Leonard O'Shea,ライオン,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Rough Play,79,83,84,91,95,81,104,617
62,,香芽 レオン,かめ れおん,Leon Kame,Cham Lion,カメレオン,男 (Male),MF6,選手 (Player),イナズマイレブン,MF,DF,風 (Wind),Breach,97,104,102,84,85,78,93,643
63,,大鷲 誠次,おおわし せいじ,Seiji Owashi,Steve Eagle,ワシ,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,風 (Wind),Tension,90,104,105,77,75,75,93,619
64,,猿田 登,さるた のぼる,Noboru Saruta,Bruce Monkey,サル,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,風 (Wind),Rough Play,90,104,105,77,75,75,93,619
65,,五利 真吾,ごり しんご,Shingo Gori,Gary Lancaster,ゴリラ,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,山 (Mountain),Bond,104,101,91,81,78,75,90,620
66,,蛇丸 彰真,へびまる しょうま,Shoma Hebimaru,Harry Snake,ヘビ,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Breach,104,101,91,81,78,75,90,620
67,,水前寺 馳威太,すいぜんじ ちいた,Chiita Suizenji,Adrian Speed,チーター,男 (Male),FW6,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Rough Play,114,108,98,81,78,78,86,643
68,,小荒 登,こあら のぼる,Noboru Koara,Alan Coe,コアラ,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,林 (Forest),Justice,90,104,105,77,75,75,93,619
69,,判 竹夫,ばん たけお,Takeo Ban,Philip Anders,パンダ,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Breach,110,104,95,77,75,75,83,619
70,,荒井川 熊巳,あらいがわ くまみ,Kumami Araigawa,Rocky Rackham,アライグマ,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Justice,79,83,84,91,95,81,104,617
71,,根津 光夫,ねず みつお,Mitsuo Nezu,Matt Mouseman,ネズミ,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Bond,93,101,98,81,82,75,90,620
72,,牛尾 空也,うしお くうや,Kuya Ushio,Chad Bullford,ウシ,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,MF,火 (Fire),Breach,79,86,81,88,95,101,86,616
73,,他山 幸助,たざん こうすけ,Kosuke Tazan,Harry Savage,他山,男 (Male),MF4,監督 (Manager),イナズマイレブン,MF,DF,風 (Wind),Justice,93,101,98,81,82,75,90,620
74,,富良 民子,ふら みんこ,Minko Fura,Flammie Gonzalez,富良,女 (Female),FW8,マネージャー (Coordinator),イナズマイレブン,FW,MF,火 (Fire),Justice,110,104,95,77,75,75,83,619
75,,杉森 威,すぎもり たけし,Takeshi Sugimori,Thomas Feldt,威,男 (Male),GK4,選手 (Player),イナズマイレブン,GK,MF,林 (Forest),Counter,83,90,84,91,99,104,90,641
77,,弘山 誘,ひろやま ゆう,Yu Hiroyama,Harry Leading,誘,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Breach,76,79,77,95,99,81,110,617
79,,花岡 強,はなおか つよし,Tsuyoshi Hanaoka,Terry Stronger,強,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,FW,火 (Fire),Justice,76,79,77,95,99,81,110,617
81,,室伏 恐,むろぶし きょう,Kyo Murobushi,Philip Marvel,恐,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Breach,79,83,84,91,95,81,104,617
83,,稲田 則,いなだ のり,Nori Inada,Noel Good,則,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Rough Play,79,83,84,91,95,81,104,617
85,,寺川 巌,てらかわ いわお,Iwao Terakawa,Tyron Rock,巌,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,火 (Fire),Counter,90,104,105,77,75,75,93,619
87,,藤丸 啓,ふじまる けい,Kei Fujimaru,Francis Tell,啓,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,FW,林 (Forest),Bond,93,101,98,81,82,75,90,620
89,,山郷 暴,さんごう ばく,Baku Sango,Samuel Buster,暴,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,火 (Fire),Bond,90,104,105,77,75,75,93,619
91,,山岸 迫,やまぎし せり,Seri Yamagishi,Jonathan Seller,迫,男 (Male),FW6,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Justice,114,108,98,81,78,78,86,643
93,,大部 信,おおべ しん,Shin Obe,Victor Kind,信,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,FW,林 (Forest),Bond,93,101,98,81,82,75,90,620
95,,下鶴 改,しもづる あらた,Arata Shimozuru,Neil Turner,改,男 (Male),FW6,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Tension,114,108,98,81,78,78,86,643
96,,下鶴 改,しもづる あらた,Arata Shimozuru,Neil Turner,改,男 (Male),#N/A,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Tension,?,?,?,?,?,?,?,0
97,,真下 乏,ましも とぼし,Toboshi Mashimo,Reg Underwood,真下,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,MF,林 (Forest),Tension,79,86,81,88,95,101,86,616
99,,都築 静,つづき しずか,Shizuka Tsuzuki,Patrick Stiller,都築,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,FW,風 (Wind),Tension,93,101,98,81,82,75,90,620
101,,平生 仁,ひらお じん,Jin Hirao,Charles Oughtry,平生,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,山 (Mountain),Breach,90,104,105,77,75,75,93,619
103,,長友 喪,ながとも そう,So Nagatomo,Clive Mooney,長友,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Rough Play,104,101,91,81,78,75,90,620
104,,水淵 無,みずぶち なし,Nashi Mizubuchi,Neil Waters,水淵,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,FW,林 (Forest),Justice,79,83,84,91,95,81,104,617
106,,富山 新一郎,とやま しんいちろう,Shinichiro Toyama,Newton Thomas,富山,男 (Male),MF4,監督 (Manager),イナズマイレブン,MF,DF,林 (Forest),Counter,93,101,98,81,82,75,90,620
107,,相戸留 捜,あいどる そう,So Aidoru,Sam Idol,アイドル,男 (Male),GK4,選手 (Player),イナズマイレブン,GK,MF,山 (Mountain),Tension,83,90,84,91,99,104,90,641
108,,線路 鉄雄,すじみち てつお,Tetsuo Sujimichi,Marcus Train,てっちゃん,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Rough Play,76,79,77,95,99,81,110,617
109,,野部流 来人,のべる らいと,Raito Noberu,Light Nobel,ノベル,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,林 (Forest),Justice,93,101,98,81,82,75,90,620
110,,無敵 英雄,むてき ひでお,Hideo Muteki,Walter Valiant,ヒーロー,男 (Male),MF5,選手 (Player),イナズマイレブン,MF,FW,火 (Fire),Counter,93,108,109,81,78,78,97,644
111,,仮沢 装,かりさわ そう,So Karisawa,Spencer Gates,コスプレ,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Rough Play,76,79,77,95,99,81,110,617
112,,御良 一輝,おんら いつき,Itsuki Onra,Josh Spear,オンライン,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Justice,104,101,91,81,78,75,90,620
113,,自作 派流,おのとも はる,Haru Onotomo,Gaby Farmer,じさくは,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Bond,104,101,91,81,78,75,90,620
114,,呂簿 合機,ろぼ ごうき,Goki Robo,A. Woodbridge,ロボ,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,風 (Wind),Counter,90,104,105,77,75,75,93,619
115,,芸夢 好武,げいむ このむ,Konomu Geimu,Gus Gamer,ゲームき,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Tension,104,101,91,81,78,75,90,620
116,,漫画 萌,まんが もえ,Moe Manga,Mark Gambling,まんがか,男 (Male),FW6,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Bond,114,108,98,81,78,78,86,643
117,,明井戸 達人,あけいと たつひと,Tatsuhito Akeito,Theodore Master,アーケード,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Rough Play,110,104,95,77,75,75,83,619
118,,木内 努,きうち つとむ,Tsutomu Kiuchi,Ham Signalman,木内,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,風 (Wind),Breach,90,104,105,77,75,75,93,619
119,,造形 製雄,ぞうけい さくお,Sakuo Zokei,Bill Formby,フィギュア,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,FW,山 (Mountain),Breach,76,79,77,95,99,81,110,617
120,,闘馬 草太,とうま そうた,Sota Toma,Grant Eldorado,闘馬,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,FW,火 (Fire),Tension,79,86,81,91,95,98,86,616
121,,声模 索太,せいも さくた,Sakuta Seimo,Mike Vox,せいゆう,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Counter,76,79,77,95,99,81,110,617
122,,熱斗 探李,ねっと さぐり,Saguri Netto,Ollie Webb,ネット,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Counter,76,79,77,95,99,81,110,617
123,,真二屋 才人,まにや さいと,Saito Maniya,Manny Artic,真二屋,男 (Male),MF7,監督 (Manager),イナズマイレブン,MF,DF,山 (Mountain),Justice,90,104,105,77,75,75,93,619
124,,明童 芽衣奈,めいどう めいな,Meina Meido,Meina Maiden,芽衣奈,女 (Female),DF7,マネージャー (Coordinator),イナズマイレブン,DF,FW,林 (Forest),Breach,76,79,77,95,99,81,110,617
125,,百地 三太,ももち さんた,Santa Momochi,Morgan Sanders,百地,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,MF,林 (Forest),Bond,79,86,81,88,95,101,86,616
126,,藤林 長門,ふじばやし ながと,Nagato Fujibayashi,Newton Flust,藤林,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Tension,76,79,77,95,99,81,110,617
127,,高坂 仁,こうさか じん,Jin Kosaka,Jim Hillfort,高坂,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Justice,76,79,77,95,99,81,110,617
128,,児雷也 蟇助,じらいや がますけ,Gamasuke Jiraiya,Galen Thunderbird,児雷也,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Bond,76,79,77,95,99,81,110,617
129,,石川 五衛太,いしかわ ごえた,Goeta Ishikawa,Finn Stoned,ゴエモン,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Tension,76,79,77,95,99,81,110,617
130,,風魔 小平太,ふうま こへいた,Koheita Fuma,Phil Wingate,風魔,男 (Male),MF6,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Justice,97,104,102,84,85,78,93,643
131,,甲賀 幻,こうが げん,Gen Koga,Jez Shell,甲賀,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,風 (Wind),Bond,90,104,105,77,75,75,93,619
132,,猿飛 佐之助,さるとび さのすけ,Sanosuke Sarutobi,Jupiter Jumper,猿飛,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,風 (Wind),Rough Play,93,101,98,81,82,75,90,620
133,,柳生 十郎,やぎゅう じゅうろう,Juro Yagyu,Sam Samurai,柳生,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,DF,林 (Forest),Breach,110,104,95,77,75,75,83,619
134,,初鳥 伴三,はつとり はんぞう,Hanzo Hatsutori,Hank Sullivan,初鳥,男 (Male),MF6,選手 (Player),イナズマイレブン,MF,DF,林 (Forest),Bond,97,104,102,84,85,78,93,643
135,,霧隠 才次,きりがくれ さいじ,Saiji Kirigakure,Sail Bluesea,霧隠,男 (Male),FW6,選手 (Player),イナズマイレブン,FW,DF,火 (Fire),Breach,114,108,98,81,78,78,86,643
136,,鉢屋 也三郎,はちや やさぶろう,Yasaburo Hachiya,John Reynolds,鉢屋,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Bond,110,104,95,77,75,75,83,619
137,,加藤 段,かとう だん,Dan Kato,Dan Hopper,加藤,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,FW,山 (Mountain),Counter,79,83,84,91,95,81,104,617
138,,出浦 清盛,いでうら きよもり,Kiyomori Ideura,Cal Trops,出浦,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,FW,林 (Forest),Tension,93,101,98,81,82,75,90,620
139,,滝川 一馬,たきがわ かずま,Kazuma Takigawa,Winston Falls,滝川,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,風 (Wind),Rough Play,93,101,98,81,82,75,90,620
140,,城戸 弥門,きど やもん,Yamon Kido,Kevin Castle,城戸,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,MF,風 (Wind),Bond,79,86,81,88,95,101,86,616
141,,伊賀島 仙一,いがじま せんいち,Senichi Igajima,Sammy Igajima,伊賀島,男 (Male),MF4,監督 (Manager),イナズマイレブン,MF,DF,火 (Fire),Breach,93,101,98,81,82,75,90,620
142,,綾野 勇一,あやの ゆういち,Yuichi Ayano,Albert Green,綾野,男 (Male),GK5,選手 (Player),イナズマイレブン,GK,MF,火 (Fire),Counter,83,90,84,95,99,101,90,642
143,,炭野 詠輔,すみの えいすけ,Eisuke Sumino,Seward Hayseed,炭野,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,FW,山 (Mountain),Bond,76,79,77,95,99,81,110,617
144,,芹沢 和憲,せりざわ かずのり,Kazunori Serizawa,Kent Work,芹沢,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Justice,76,79,77,95,99,81,110,617
145,,牧谷 寛,まきや ひろし,Hiroshi Makiya,Mark Hillvalley,牧谷,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,GK,山 (Mountain),Rough Play,79,83,84,91,95,81,104,617
146,,塩谷 ヒロ,しおたに ひろ,Hiro Shiotani,Herb Sherman,塩谷,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,FW,火 (Fire),Counter,76,79,77,95,99,81,110,617
147,,山根 羊,やまね よう,Yo Yamane,Joe Small,山根,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Justice,90,104,105,77,75,75,93,619
148,,育井 庄児,いくい しょうじ,Shoji Ikui,Ike Steiner,育井,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,林 (Forest),Breach,90,104,105,77,75,75,93,619
149,,大鯉 昇,おおごい のぼる,Noboru Ogoi,Orville Newman,大鯉,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,火 (Fire),Justice,90,104,105,77,75,75,93,619
150,,原野 徹,はらの とおる,Toru Harano,Tom Walters,原野,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,山 (Mountain),Rough Play,90,104,105,77,75,75,93,619
151,,根上 大地,ねがみ だいち,Daichi Negami,Daniel Dawson,大地,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,風 (Wind),Bond,90,104,105,77,75,75,93,619
152,,田主丸 茂樹,たぬしまる しげき,Shigeki Tanushimaru,Stuart Racoonfur,田主丸,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Justice,110,104,95,77,75,75,83,619
153,,草生 久志,くさお ひさし,Hisashi Kusao,Lorne Mower,草生,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,FW,山 (Mountain),Breach,79,86,81,88,95,101,86,616
